"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.304440917E0,-5.295581676E-3,1.272563803E-2,2.115405679E-2,2.524834979E-2
2.314422917E0,5.985675892E-3,1.127683504E-2,-2.839232504E-2,3.113068335E-2
2.324403917E0,-2.226476681E-3,2.400154117E-3,-2.375255942E-2,2.397711445E-2
2.334385917E0,-7.415725541E-3,-4.237120869E-3,2.160312295E-2,2.323017649E-2
2.344367917E0,-1.389552256E-3,2.283744277E-3,1.217331827E-2,1.246338722E-2
2.354348917E0,-4.076709017E-3,-3.105744026E-3,-3.363143027E-2,3.401967525E-2
2.364330917E0,8.785914320E-3,-9.109528014E-3,-6.999117136E-4,1.267539615E-2
2.374311917E0,1.468876303E-2,-3.543732455E-4,-1.117753744E-2,1.846138356E-2
2.384293917E0,1.492859252E-2,8.426061594E-3,-3.842146933E-2,4.207220810E-2
2.394275917E0,1.473885151E-2,4.658604618E-3,-7.885555029E-3,1.735276114E-2
2.404256917E0,2.516431483E-2,3.502509585E-3,6.633666158E-3,2.625863364E-2
2.414238917E0,9.438375079E-3,-1.093781074E-3,-3.318353355E-2,3.451704188E-2
2.424219917E0,6.598320196E-3,-4.721932705E-3,-4.396112144E-2,4.470363158E-2
2.434201917E0,7.330769038E-3,-9.867162709E-3,-3.378170371E-2,3.594863809E-2
2.444182917E0,8.268639017E-3,-1.247793079E-2,-5.533746421E-2,5.732629496E-2
2.454164917E0,-2.485914613E-4,-1.336115272E-2,-8.932791352E-3,1.607410840E-2
2.464146917E0,7.413025772E-3,-1.334592712E-2,-4.246364951E-2,4.512458589E-2
2.474127917E0,8.476445292E-3,-9.883457255E-3,-3.288357139E-2,3.536752916E-2
2.484109917E0,1.407698211E-2,-1.193670703E-2,-4.011189938E-4,1.846096683E-2
2.494090917E0,1.154248250E-2,-6.588880140E-3,1.411868691E-2,1.939019247E-2
